Brand,Model,picture,Price,,,,,,,,,,,,,,,,,,,,,,,
Asus,EeeBook X205TA,https://i.gadgets360cdn.com/products/laptops/large/1546455430_635_asus_eeebook-x205ta.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.41,,,,,,,,,,,,,,,,,,,,,,,3
iBall,CompBook Netizen,https://i.gadgets360cdn.com/products/large/1553174442_635_iball_compbook_Netizen.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.41,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire E ES-ES1-111,https://i.gadgets360cdn.com/products/laptops/large/1546455445_635_acer_aspire-e-es-es1-111.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.49,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire E ES-ES1-111,https://i.gadgets360cdn.com/products/laptops/large/1546455445_635_acer_aspire-e-es-es1-111.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.49,,,,,,,,,,,,,,,,,,,,,,,3
iBall,Slide Penbook,https://i.gadgets360cdn.com/products/laptops/large/1546453787_635_iball_slide-penbook.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.49,,,,,,,,,,,,,,,,,,,,,,,3
iBall,Slide Penbook,https://i.gadgets360cdn.com/products/laptops/large/1546453787_635_iball_slide-penbook.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.49,,,,,,,,,,,,,,,,,,,,,,,1
Lava,Helium 14,https://i.gadgets360cdn.com/products/laptops/large/1546454290_635_lava_helium-14.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.49,,,,,,,,,,,,,,,,,,,,,,,3
Lava,Helium 14,https://i.gadgets360cdn.com/products/laptops/large/1546454290_635_lava_helium-14.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.49,,,,,,,,,,,,,,,,,,,,,,,3
Lava,Helium T100,https://i.gadgets360cdn.com/products/laptops/large/1546454712_635_lava_helium-t100.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.49,,,,,,,,,,,,,,,,,,,,,,,3
Lava,Helium T100,https://i.gadgets360cdn.com/products/laptops/large/1546454712_635_lava_helium-t100.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.49,,,,,,,,,,,,,,,,,,,,,,,3
Reach,Quanto RCN-025,https://i.gadgets360cdn.com/products/laptops/large/1525204437_635_quanto-rcn-025.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.49,,,,,,,,,,,,,,,,,,,,,,,2
Asus,EeeBook E200HA-FD0004TS,https://i.gadgets360cdn.com/products/laptops/large/1546455259_635_asus_eeebook-e200ha-fd0004ts.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.50,,,,,,,,,,,,,,,,,,,,,,,3
Asus,EeeBook E200HA-FD0004TS,https://i.gadgets360cdn.com/products/laptops/large/1546455259_635_asus_eeebook-e200ha-fd0004ts.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.50,,,,,,,,,,,,,,,,,,,,,,,3
Asus,E200HA-FD0006TS,https://i.gadgets360cdn.com/products/laptops/large/1546455439_635_asus_e200ha-fd0006ts.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.50,,,,,,,,,,,,,,,,,,,,,,,1
Asus,E200HA-FD0006TS,https://i.gadgets360cdn.com/products/laptops/large/1546455439_635_asus_e200ha-fd0006ts.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,142.50,,,,,,,,,,,,,,,,,,,,,,,3
Asus,EeeBook E200HA-FD0005TS,https://i.gadgets360cdn.com/products/laptops/large/1546455191_635_asus_eeebook-e200ha-fd0005ts.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,147.25,,,,,,,,,,,,,,,,,,,,,,,1
Asus,EeeBook E200HA-FD0005TS,https://i.gadgets360cdn.com/products/laptops/large/1546455191_635_asus_eeebook-e200ha-fd0005ts.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,147.25,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire E ES-11-ES1-131-C4ZS,https://i.gadgets360cdn.com/products/laptops/large/1546455451_635_acer_aspire-e-es-11-es1-131-c4zs.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,148.19,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire E ES-11-ES1-131-C4ZS,https://i.gadgets360cdn.com/products/laptops/large/1546455451_635_acer_aspire-e-es-11-es1-131-c4zs.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,148.19,,,,,,,,,,,,,,,,,,,,,,,3
Reach,Rcn 25,https://i.gadgets360cdn.com/products/laptops/large/1546455450_635_reach_rcn-25.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,149.14,,,,,,,,,,,,,,,,,,,,,,,3
Reach,Rcn 25,https://i.gadgets360cdn.com/products/laptops/large/1546455450_635_reach_rcn-25.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,149.14,,,,,,,,,,,,,,,,,,,,,,,3
Lenovo,IdeaPad 320,https://i.gadgets360cdn.com/products/laptops/large/1546455999_635_lenovo_ideapad-320.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,150.17,,,,,,,,,,,,,,,,,,,,,,,3
Asus,KX140D,https://i.gadgets360cdn.com/products/laptops/large/1525201998_635_kx140d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,150.96,,,,,,,,,,,,,,,,,,,,,,,1
Asus,X200MA-KX506D,https://i.gadgets360cdn.com/products/laptops/large/1525196448_635_x200ma-kx506d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.52,,,,,,,,,,,,,,,,,,,,,,,3
Asus,X200MA-KX233D,https://i.gadgets360cdn.com/products/laptops/large/1546455448_635_asus_x200ma-kx233d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.89,,,,,,,,,,,,,,,,,,,,,,,3
Acer,One 10 S1003,https://i.gadgets360cdn.com/products/laptops/large/1546455416_635_acer_one-10-s1003.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.91,,,,,,,,,,,,,,,,,,,,,,,3
Acer,One 10 S1003,https://i.gadgets360cdn.com/products/laptops/large/1546455416_635_acer_one-10-s1003.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.91,,,,,,,,,,,,,,,,,,,,,,,3
Asus,Eeebook X205TA-FD0060TS,https://i.gadgets360cdn.com/products/laptops/large/1525200106_635_eeebook-x205ta-fd0060ts.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.91,,,,,,,,,,,,,,,,,,,,,,,3
Asus,Eeebook E200HA-FD0043T,https://i.gadgets360cdn.com/products/laptops/large/1525204143_635_eeebook-e200ha-fd0043t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.91,,,,,,,,,,,,,,,,,,,,,,,3
Dell,Inspiron 11 3162,https://i.gadgets360cdn.com/products/laptops/large/1525202037_635_inspiron-11-3162.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.91,,,,,,,,,,,,,,,,,,,,,,,3
